CreatedAt,SourceType,MediumType,ProductType,SPId,LeadId,Status,SubStatus,DateOfSale,DateOfRevenue,KPI1PayinAmount,KPI1PayoutAmount,KPI2PayinAmount,KPI2PayoutAmount,TotalPayin,TotalPayout
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-77678,AT-1R7PJ,Success,Account Opened,2023-10-02,2024-04-27,1500.0,1000.0,1000.0,500.0,2500.0,1500.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-73872,AT-4U8T3,Success,Account Opened,2023-10-02,2024-04-27,1500.0,1000.0,1000.0,500.0,2500.0,1500.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-92519,AT-B5TIX,Success,Account Opened,2023-10-02,2024-04-27,1500.0,1000.0,1000.0,500.0,2500.0,1500.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-24970,AT-YL9OS,Success,Account Opened,2023-10-02,2024-04-27,1500.0,1000.0,0.0,0.0,1500.0,1000.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-37821,AT-VLA3G,Success,Account Opened,2023-10-02,2024-04-27,1500.0,1000.0,1000.0,500.0,2500.0,1500.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-13011,AT-CBJ3I,Success,Account Opened,2023-10-02,2024-04-27,1500.0,1000.0,1000.0,500.0,2500.0,1500.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-86038,AT-4R7RB,Success,Account Opened,2023-10-02,2024-04-27,1500.0,1000.0,0.0,0.0,1500.0,1000.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-18984,AT-TSEGA,Success,Account Opened,2023-10-02,2024-04-27,1500.0,1000.0,0.0,0.0,1500.0,1000.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-82890,AT-8M24U,Success,Account Opened,2023-10-02,2024-04-27,1500.0,1000.0,1000.0,500.0,2500.0,1500.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-25923,AT-2D3RQ,Success,Account Opened,2023-10-02,2024-04-27,1500.0,1000.0,1000.0,500.0,2500.0,1500.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-97030,AT-8NLGW,Success,Account Opened,2023-10-02,2024-04-27,1500.0,1000.0,1000.0,500.0,2500.0,1500.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-63831,AT-SHZZA,Success,Account Opened,2023-10-02,2024-04-27,1500.0,1000.0,0.0,0.0,1500.0,1000.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-29008,AT-UPAID,Success,Account Opened,2023-10-03,2024-04-27,1500.0,1000.0,1000.0,500.0,2500.0,1500.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-31468,AT-0N8RZ,Success,Account Opened,2023-10-03,2024-04-27,1500.0,1000.0,1000.0,500.0,2500.0,1500.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-62673,AT-Z9M39,Success,Account Opened,2023-10-03,2024-04-27,1500.0,1000.0,1000.0,500.0,2500.0,1500.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-13483,AT-2YJNE,Success,Account Opened,2023-10-03,2024-04-27,1500.0,1000.0,1000.0,500.0,2500.0,1500.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-75958,AT-KCYMU,Success,Account Opened,2023-10-03,2024-04-27,2000.0,1000.0,0.0,0.0,2000.0,1000.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-69552,AT-MQOAT,Success,Account Opened,2023-10-03,2024-04-27,2000.0,1000.0,500.0,250.0,2500.0,1250.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-83279,AT-APV0F,Success,Account Opened,2023-10-03,2024-04-27,2000.0,1000.0,500.0,250.0,2500.0,1250.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-57823,AT-NO1J4,Success,Account Opened,2023-10-03,2024-04-27,2000.0,1000.0,500.0,250.0,2500.0,1250.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-10755,AT-3CT6C,Success,Account Opened,2023-10-03,2024-04-27,2000.0,1000.0,0.0,0.0,2000.0,1000.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-80483,AT-HM5O2,Success,Account Opened,2023-10-03,2024-04-27,2000.0,1000.0,500.0,250.0,2500.0,1250.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-41537,AT-LY0WY,Success,Account Opened,2023-10-03,2024-04-27,2000.0,1000.0,500.0,250.0,2500.0,1250.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-23819,AT-6RFM5,Success,Account Opened,2023-10-03,2024-04-27,2000.0,1000.0,0.0,0.0,2000.0,1000.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-88417,AT-59O96,Success,Account Opened,2023-10-03,2024-04-27,2000.0,1000.0,500.0,250.0,2500.0,1250.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-21794,AT-GRQUF,Success,Account Opened,2023-10-04,2024-04-27,2000.0,1000.0,0.0,0.0,2000.0,1000.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-58209,AT-1JNQ4,Success,Account Opened,2023-10-04,2024-04-27,2000.0,1000.0,0.0,0.0,2000.0,1000.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-56867,AT-0GU0A,Success,Account Opened,2023-10-04,2024-04-27,2000.0,1000.0,500.0,250.0,2500.0,1250.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-79391,AT-SSRCH,Success,Account Opened,2023-10-04,2024-04-27,2000.0,1000.0,500.0,250.0,2500.0,1250.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-78605,AT-R7Z3I,Success,Account Opened,2023-10-04,2024-04-27,2000.0,1000.0,500.0,250.0,2500.0,1250.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-23819,AT-8PY6M,Success,Account Opened,2023-10-05,2024-04-27,2000.0,1000.0,0.0,0.0,2000.0,1000.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-88417,AT-V8Z0D,Success,Account Opened,2023-10-05,2024-04-27,2000.0,1000.0,0.0,0.0,2000.0,1000.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-38308,AT-NQASE,Success,Account Opened,2023-10-05,2024-04-27,2000.0,1000.0,0.0,0.0,2000.0,1000.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-51840,AT-1504T,Success,Account Opened,2023-10-06,2024-04-27,2000.0,1000.0,1000.0,500.0,3000.0,1500.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-62254,AT-UJN20,Success,Account Opened,2023-10-06,2024-04-27,2000.0,1000.0,0.0,0.0,2000.0,1000.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-84707,AT-Y4MDK,Success,Account Opened,2023-10-06,2024-04-27,2000.0,1000.0,1000.0,500.0,3000.0,1500.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-76874,AT-B64ZM,Success,Account Opened,2023-10-06,2024-04-27,2000.0,1000.0,1000.0,500.0,3000.0,1500.0
2024-04-27 11:23:07,Bank_A,Medium_A,Savings Account,SP-67792,AT-4BFKP,Success,Account Opened,2023-10-06,2024-04-27,2000.0,1000.0,0.0,0.0,2000.0,1000.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-53372,AT-ACZSI,Success,Account Opened,2023-10-09,2024-04-27,1500.0,1000.0,500.0,250.0,2000.0,1250.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-82611,AT-PTQU1,Success,Account Opened,2023-10-09,2024-04-27,1500.0,1000.0,500.0,250.0,2000.0,1250.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-69284,AT-PXOBF,Success,Account Opened,2023-10-10,2024-04-27,1500.0,1000.0,500.0,250.0,2000.0,1250.0
2024-04-27 11:23:07,Bank_A,Medium_B,Savings Account,SP-27456,AT-OQ16N,Success,Account Opened,2023-10-10,2024-04-27,1500.0,1000.0,500.0,250.0,2000.0,1250.0
